timeSegBegin,timeSegEnd,MW,THRTEMP,MSP,YRHRTEMPT,RRHRTEMPT,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,HHA11,HHA31,HHA51,HHA71,HHA81,HNA01A,HNA02A,O2,TAF,TOTALCOAL
2016-3-1 10:00:00,2016-3-1 11:07:00,971.6349,589.9161,30.2348,594.5079,591.9569,1.9621,20.5957,18.8554,16.8296,11.5475,14.4958,0.6969,-1.4244,83.75,83.75,83.75,83.75,83.75,98.5294,74.1176,2.8044,3601.6267,365.1974
2016-3-3 09:32:00,2016-3-3 10:30:00,975.161,588.4169,30.7231,593.3812,593.0803,0.794,24.1683,6.6891,21.92,1.0908,1.9941,0.4085,-0.5726,83.5593,83.5593,83.5593,83.5593,83.5593,98.3051,63.8305,3.004,3652.3303,357.6317
2016-3-3 10:57:00,2016-3-3 11:14:00,931.0511,563.1011,29.0289,567.3778,569.8983,-2.0478,9.0022,3.9792,7.3061,1.0072,1.745,0.3442,-1.0333,80.2778,80.2778,80.2778,80.2778,80.2778,94.4444,62.3333,2.9619,3528.0672,338.1383
2016-3-3 11:16:00,2016-3-3 11:34:00,932.6511,565.435,29.5011,569.5863,571.2618,-2.4839,21.7818,3.4924,19.2626,0.7429,1.6784,-0.0174,-0.7553,80.5263,80.5263,80.5263,80.5263,80.5263,94.7368,62.5263,2.9711,3512.9708,337.0074
2016-3-3 11:36:00,2016-3-3 11:49:00,913.2468,553.3379,28.9157,557.3204,559.3661,-2.5257,20.2136,3.2879,17.4093,0.6329,1.6136,-0.3554,-1.3443,78.9286,78.9286,78.9286,78.9286,78.9286,92.8571,61.2857,2.8568,3432.4471,330.3746
2016-3-3 11:52:00,2016-3-3 12:00:00,873.0433,528.8011,27.68,532.6833,534.9506,-2.4711,13.0583,3.0667,10.2744,0.5689,1.4933,-0.4589,-0.7039,75.5556,75.5556,75.5556,75.5556,75.5556,88.8889,58.6667,2.8222,3305.9839,316.2267
2016-3-3 13:23:00,2016-3-3 20:02:00,990.4458,596.109,31.1122,599.2235,599.7767,0.3247,25.2513,6.0056,23.1751,1.3953,2.617,1.0637,2.7486,84.7875,84.7875,84.7875,79.9125,84.7875,99.75,67.14,3.0002,nan,365.699
2016-3-3 20:22:00,2016-3-3 21:09:00,968.3816,586.5208,30.3183,591.4367,593.2679,41.2623,64.6232,44.9242,62.6056,14.431,2.4022,11.6326,30.7648,83.2292,83.2292,83.2292,63.6458,83.2292,97.9167,68.5417,2.9641,3497.8245,359.1911
2016-3-3 21:18:00,2016-3-3 21:25:00,859.2075,524.4588,26.815,525.4713,526.9444,-0.3919,15.5175,3.8525,12.9431,0.7794,2.0562,0.6069,10.7931,74.375,74.375,74.375,56.875,74.375,87.5,58.4375,2.4719,3158.8356,322.8875
2016-3-3 21:27:00,2016-3-3 21:38:00,900.9646,550.5987,28.1358,553.5167,552.2646,1.3812,5.4617,5.5833,3.5004,0.9667,2.2017,0.4204,34.4471,77.9167,77.9167,77.9167,59.5833,77.9167,91.6667,64.1667,2.86,3353.2958,336.2383
2016-3-3 21:40:00,2016-3-3 21:47:00,859.2075,525.0025,26.8188,529.37,527.4306,-1.7325,5.1394,3.1762,2.9844,1.0962,2.1088,1.0781,41.3912,74.375,74.375,74.375,56.875,74.375,87.5,61.25,2.7456,3121.8187,321.3644
2016-3-3 21:52:00,2016-3-3 22:01:00,883.7265,540.142,27.564,544.55,543.522,-1.8135,14.0995,3.267,11.105,0.63,2.169,-0.0425,54.808,76.5,76.5,76.5,58.5,76.5,90.0,63.0,2.688,3191.19,329.859
2016-3-3 22:17:00,2016-3-3 22:43:00,946.9765,579.4204,29.478,583.8681,583.3243,2.1624,31.6672,6.3378,28.2713,2.0724,2.3237,8.8926,41.407,81.8519,81.8519,81.8519,62.5926,81.8519,96.2963,69.4074,2.9006,3388.8615,353.7311
