时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-16 06:40:00,	982.014,	0x0000,	978.628,	0x0000,	607.308,	0x0000,
	2016-3-16 06:41:00,	976.875,	0x0000,	980.126,	0x0000,	607.416,	0x0000,
	2016-3-16 06:42:00,	982.871,	0x0000,	982.051,	0x0000,	607.524,	0x0000,
	2016-3-16 06:43:00,	982.871,	0x0000,	982.051,	0x0000,	607.524,	0x0000,
	2016-3-16 06:44:00,	983.727,	0x0000,	982.051,	0x0000,	607.739,	0x0000,
	2016-3-16 06:45:00,	982.871,	0x0000,	982.051,	0x0000,	607.955,	0x0000,
	2016-3-16 06:46:00,	983.727,	0x0000,	983.501,	0x0000,	608.063,	0x0000,
	2016-3-16 06:47:00,	983.727,	0x0000,	980.64,	0x0000,	607.955,	0x0000,
	2016-3-16 06:48:00,	981.158,	0x0000,	982.246,	0x0000,	607.631,	0x0000,
	2016-3-16 06:49:00,	985.44,	0x0000,	984.235,	0x0000,	607.308,	0x0000,
	2016-3-16 06:50:00,	982.871,	0x0000,	977.871,	0x0000,	606.985,	0x0000,
	2016-3-16 06:51:00,	980.301,	0x0000,	984.203,	0x0000,	606.643,	0x0000,
	2016-3-16 06:52:00,	984.584,	0x0000,	984.203,	0x0000,	606.392,	0x0000,
	2016-3-16 06:53:00,	982.871,	0x0000,	980.944,	0x0000,	606.177,	0x0000,
	2016-3-16 06:54:00,	980.301,	0x0000,	980.586,	0x0000,	605.943,	0x0000,
	2016-3-16 06:55:00,	980.301,	0x0000,	980.586,	0x0000,	605.728,	0x0000,
	2016-3-16 06:56:00,	976.875,	0x0000,	975.458,	0x0000,	605.835,	0x0000,
	2016-3-16 06:57:00,	975.162,	0x0000,	975.458,	0x0000,	606.051,	0x0000,
	2016-3-16 06:58:00,	973.449,	0x0000,	971.795,	0x0000,	606.159,	0x0000,
	2016-3-16 06:59:00,	969.166,	0x0000,	969.597,	0x0000,	606.374,	0x0000,
	2016-3-16 07:00:00,	969.166,	0x0000,	967.399,	0x0000,	606.482,	0x0000,
	2016-3-16 07:01:00,	967.453,	0x0000,	967.399,	0x0000,	606.482,	0x0000,
	2016-3-16 07:02:00,	967.453,	0x0000,	967.399,	0x0000,	606.59,	0x0000,
	2016-3-16 07:03:00,	968.31,	0x0000,	967.399,	0x0000,	606.823,	0x0000,
	2016-3-16 07:04:00,	965.74,	0x0000,	964.469,	0x0000,	606.931,	0x0000,
	2016-3-16 07:05:00,	964.027,	0x0000,	964.469,	0x0000,	607.039,	0x0000,
	2016-3-16 07:06:00,	966.597,	0x0000,	965.934,	0x0000,	607.254,	0x0000,
	2016-3-16 07:07:00,	968.31,	0x0000,	970.056,	0x0000,	607.463,	0x0000,
	2016-3-16 07:08:00,	974.306,	0x0000,	972.175,	0x0000,	607.463,	0x0000,
	2016-3-16 07:09:00,	972.592,	0x0000,	976.923,	0x0000,	607.344,	0x0000,
	2016-3-16 07:10:00,	980.301,	0x0000,	979.854,	0x0000,	607.236,	0x0000,
	2016-3-16 07:11:00,	980.301,	0x0000,	982.518,	0x0000,	607.003,	0x0000,
	2016-3-16 07:12:00,	983.727,	0x0000,	983.507,	0x0000,	606.679,	0x0000,
	2016-3-16 07:13:00,	983.727,	0x0000,	983.507,	0x0000,	606.349,	0x0000,
	2016-3-16 07:14:00,	983.727,	0x0000,	984.249,	0x0000,	605.99,	0x0000,
	2016-3-16 07:15:00,	985.44,	0x0000,	984.249,	0x0000,	605.631,	0x0000,
	2016-3-16 07:16:00,	988.01,	0x0000,	986.397,	0x0000,	605.523,	0x0000,
	2016-3-16 07:17:00,	984.584,	0x0000,	988.254,	0x0000,	605.308,	0x0000,
	2016-3-16 07:18:00,	990.58,	0x0000,	990.11,	0x0000,	605.092,	0x0000,
	2016-3-16 07:19:00,	989.723,	0x0000,	992.308,	0x0000,	605.092,	0x0000,
	2016-3-16 07:20:00,	993.149,	0x0000,	993.763,	0x0000,	604.984,	0x0000,
	2016-3-16 07:21:00,	994.006,	0x0000,	994.916,	0x0000,	604.984,	0x0000,
	2016-3-16 07:22:00,	993.149,	0x0000,	994.916,	0x0000,	604.769,	0x0000,
	2016-3-16 07:23:00,	994.006,	0x0000,	994.916,	0x0000,	604.661,	0x0000,
	2016-3-16 07:24:00,	995.719,	0x0000,	994.916,	0x0000,	604.446,	0x0000,
	2016-3-16 07:25:00,	994.862,	0x0000,	994.742,	0x0000,	604.338,	0x0000,
	2016-3-16 07:26:00,	994.862,	0x0000,	988.185,	0x0000,	604.338,	0x0000,
	2016-3-16 07:27:00,	993.149,	0x0000,	994.506,	0x0000,	604.338,	0x0000,
	2016-3-16 07:28:00,	991.436,	0x0000,	991.599,	0x0000,	604.122,	0x0000,
	2016-3-16 07:29:00,	988.867,	0x0000,	989.575,	0x0000,	603.907,	0x0000,
	2016-3-16 07:30:00,	988.01,	0x0000,	984.249,	0x0000,	603.907,	0x0000,
	2016-3-16 07:31:00,	987.154,	0x0000,	990.384,	0x0000,	604.122,	0x0000,
	2016-3-16 07:32:00,	986.297,	0x0000,	984.249,	0x0000,	604.464,	0x0000,
	2016-3-16 07:33:00,	985.44,	0x0000,	985.714,	0x0000,	604.697,	0x0000,
	2016-3-16 07:34:00,	987.154,	0x0000,	987.18,	0x0000,	605.02,	0x0000,
	2016-3-16 07:35:00,	987.154,	0x0000,	990.338,	0x0000,	605.254,	0x0000,
	2016-3-16 07:36:00,	994.006,	0x0000,	991.935,	0x0000,	605.469,	0x0000,
	2016-3-16 07:37:00,	991.436,	0x0000,	989.377,	0x0000,	605.811,	0x0000,
