时间,UNIT3:MW数值,UNIT3:MW状态,UNIT3:MWD2数值,UNIT3:MWD2状态,UNIT3:RRHRTEMPT数值,UNIT3:RRHRTEMPT状态,
	2016-3-12 02:40:00,	845.826,	0x0000,	843.742,	0x0000,	597.211,	0x0000,
	2016-3-12 02:41:00,	840.687,	0x0000,	841.392,	0x0000,	597.325,	0x0000,
	2016-3-12 02:42:00,	841.543,	0x0000,	841.392,	0x0000,	597.325,	0x0000,
	2016-3-12 02:43:00,	839.83,	0x0000,	838.33,	0x0000,	597.325,	0x0000,
	2016-3-12 02:44:00,	836.404,	0x0000,	836.996,	0x0000,	597.104,	0x0000,
	2016-3-12 02:45:00,	835.547,	0x0000,	836.996,	0x0000,	596.888,	0x0000,
	2016-3-12 02:46:00,	833.834,	0x0000,	833.333,	0x0000,	596.565,	0x0000,
	2016-3-12 02:47:00,	832.978,	0x0000,	833.333,	0x0000,	596.134,	0x0000,
	2016-3-12 02:48:00,	832.121,	0x0000,	833.333,	0x0000,	595.811,	0x0000,
	2016-3-12 02:49:00,	830.408,	0x0000,	829.707,	0x0000,	595.596,	0x0000,
	2016-3-12 02:50:00,	829.552,	0x0000,	829.707,	0x0000,	595.381,	0x0000,
	2016-3-12 02:51:00,	827.839,	0x0000,	829.707,	0x0000,	595.165,	0x0000,
	2016-3-12 02:52:00,	828.695,	0x0000,	829.707,	0x0000,	595.058,	0x0000,
	2016-3-12 02:53:00,	827.839,	0x0000,	826.74,	0x0000,	595.058,	0x0000,
	2016-3-12 02:54:00,	826.125,	0x0000,	826.74,	0x0000,	595.058,	0x0000,
	2016-3-12 02:55:00,	827.839,	0x0000,	826.74,	0x0000,	595.201,	0x0000,
	2016-3-12 02:56:00,	828.695,	0x0000,	833.18,	0x0000,	595.309,	0x0000,
	2016-3-12 02:57:00,	827.839,	0x0000,	822.425,	0x0000,	595.309,	0x0000,
	2016-3-12 02:58:00,	823.556,	0x0000,	822.344,	0x0000,	595.309,	0x0000,
	2016-3-12 02:59:00,	822.699,	0x0000,	822.344,	0x0000,	595.309,	0x0000,
	2016-3-12 03:00:00,	821.843,	0x0000,	822.344,	0x0000,	595.201,	0x0000,
	2016-3-12 03:01:00,	820.986,	0x0000,	822.344,	0x0000,	594.878,	0x0000,
	2016-3-12 03:02:00,	821.843,	0x0000,	818.681,	0x0000,	594.663,	0x0000,
	2016-3-12 03:03:00,	819.273,	0x0000,	817.949,	0x0000,	594.448,	0x0000,
	2016-3-12 03:04:00,	818.417,	0x0000,	817.949,	0x0000,	594.448,	0x0000,
	2016-3-12 03:05:00,	817.56,	0x0000,	816.484,	0x0000,	594.448,	0x0000,
	2016-3-12 03:06:00,	814.991,	0x0000,	816.484,	0x0000,	594.322,	0x0000,
	2016-3-12 03:07:00,	814.991,	0x0000,	816.484,	0x0000,	594.214,	0x0000,
	2016-3-12 03:08:00,	815.847,	0x0000,	816.484,	0x0000,	594.1,	0x0000,
	2016-3-12 03:09:00,	818.417,	0x0000,	817.216,	0x0000,	594.1,	0x0000,
	2016-3-12 03:10:00,	817.56,	0x0000,	817.216,	0x0000,	594.214,	0x0000,
	2016-3-12 03:11:00,	816.704,	0x0000,	819.414,	0x0000,	594.316,	0x0000,
	2016-3-12 03:12:00,	820.13,	0x0000,	819.414,	0x0000,	594.43,	0x0000,
	2016-3-12 03:13:00,	820.986,	0x0000,	821.612,	0x0000,	594.639,	0x0000,
	2016-3-12 03:14:00,	821.843,	0x0000,	821.612,	0x0000,	594.746,	0x0000,
	2016-3-12 03:15:00,	823.556,	0x0000,	821.612,	0x0000,	594.854,	0x0000,
	2016-3-12 03:16:00,	823.556,	0x0000,	824.542,	0x0000,	594.962,	0x0000,
	2016-3-12 03:17:00,	826.125,	0x0000,	824.542,	0x0000,	595.076,	0x0000,
	2016-3-12 03:18:00,	824.412,	0x0000,	824.542,	0x0000,	595.076,	0x0000,
	2016-3-12 03:19:00,	824.412,	0x0000,	824.542,	0x0000,	595.076,	0x0000,
