时间,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,
	2016-3-10 17:20:00,	-3.51038,	0x1300,	35.6227,	0x0000,	0.152625,	0x0000,	37.6374,	0x0000,	74.4506,	0x0000,	1.25153,	0x0000,	-0.335775,	0x0200,	83.9133,	0x0000,
	2016-3-10 17:21:00,	-3.51038,	0x1300,	34.5238,	0x0000,	0.152625,	0x0000,	36.8437,	0x0000,	75.3053,	0x0000,	1.25153,	0x0000,	-0.335775,	0x0200,	82.5702,	0x0000,
	2016-3-10 17:22:00,	-3.51038,	0x1300,	34.0354,	0x0000,	0.152625,	0x0000,	35.928,	0x0000,	74.6337,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	80.9219,	0x0000,
	2016-3-10 17:23:00,	-3.51038,	0x1300,	31.7155,	0x0000,	0.152625,	0x0000,	34.1575,	0x0000,	72.558,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	75.3053,	0x0000,
	2016-3-10 17:24:00,	-3.51038,	0x1300,	32.0818,	0x0000,	0.152625,	0x0000,	34.3407,	0x0000,	72.558,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	74.6948,	0x0000,
	2016-3-10 17:25:00,	-3.51038,	0x1300,	32.1429,	0x0000,	0.152625,	0x0000,	34.3407,	0x0000,	70.7265,	0x0000,	1.31258,	0x0000,	2.65568,	0x0000,	75.1221,	0x0000,
	2016-3-10 17:26:00,	-3.51038,	0x1300,	32.2039,	0x0000,	0.152625,	0x0000,	33.8523,	0x0000,	69.3223,	0x0000,	1.31258,	0x0000,	-0.213675,	0x0200,	74.0843,	0x0000,
	2016-3-10 17:27:00,	-3.51038,	0x1300,	29.7619,	0x0000,	0.152625,	0x0000,	31.7766,	0x0000,	67.1856,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	68.3455,	0x0000,
	2016-3-10 17:28:00,	-3.51038,	0x1300,	29.2125,	0x0000,	0.152625,	0x0000,	31.4103,	0x0000,	63.0952,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	68.1013,	0x0000,
	2016-3-10 17:29:00,	-3.51038,	0x1300,	26.9536,	0x0000,	0.152625,	0x0000,	29.1514,	0x0000,	62.1184,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	66.0867,	0x0000,
	2016-3-10 17:30:00,	-3.51038,	0x1300,	25.3663,	0x0000,	0.152625,	0x0000,	27.381,	0x0000,	59.127,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	62.2405,	0x0000,
	2016-3-10 17:31:00,	-3.51038,	0x1300,	25.2442,	0x0000,	0.152625,	0x0000,	27.5031,	0x0000,	55.7692,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	62.79,	0x0000,
	2016-3-10 17:32:00,	-3.51038,	0x1300,	25.3053,	0x0000,	0.152625,	0x0000,	27.442,	0x0000,	52.6557,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	63.4615,	0x0000,
	2016-3-10 17:33:00,	-3.51038,	0x1300,	23.0464,	0x0000,	0.152625,	0x0000,	25.5495,	0x0000,	50.641,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	61.3858,	0x0000,
	2016-3-10 17:34:00,	-3.51038,	0x1300,	21.9475,	0x0000,	0.152625,	0x0000,	24.4506,	0x0000,	47.3443,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	59.6154,	0x0000,
	2016-3-10 17:35:00,	-3.51038,	0x1300,	21.2149,	0x0000,	0.152625,	0x0000,	23.779,	0x0000,	45.696,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	59.8596,	0x0000,
	2016-3-10 17:36:00,	-3.51038,	0x1300,	19.5665,	0x0000,	0.152625,	0x0000,	22.1306,	0x0000,	42.9487,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	59.2491,	0x0000,
	2016-3-10 17:37:00,	-3.51038,	0x1300,	17.7961,	0x0000,	0.152625,	0x0000,	20.177,	0x0000,	40.6899,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	56.9292,	0x0000,
	2016-3-10 17:38:00,	-3.51038,	0x1300,	16.8193,	0x0000,	0.152625,	0x0000,	19.4444,	0x0000,	36.4164,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	57.5397,	0x0000,
	2016-3-10 17:39:00,	-3.51038,	0x1300,	14.4383,	0x0000,	0.152625,	0x0000,	17.2466,	0x0000,	30.6166,	0x0000,	1.31258,	0x0000,	-0.335775,	0x0200,	56.1966,	0x0000,
	2016-3-10 17:40:00,	-3.51038,	0x1300,	12.2405,	0x0000,	0.152625,	0x0000,	14.8657,	0x0000,	25.9768,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	55.6471,	0x0000,
	2016-3-10 17:41:00,	-3.51038,	0x1300,	10.2259,	0x0000,	0.152625,	0x0000,	13.1563,	0x0000,	20.4823,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	54.243,	0x0000,
	2016-3-10 17:42:00,	-3.51038,	0x1300,	8.21123,	0x0000,	0.091576,	0x0000,	11.2637,	0x0000,	15.9646,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	52.9609,	0x0000,
	2016-3-10 17:43:00,	-3.51038,	0x1300,	6.99023,	0x0000,	0.152625,	0x0000,	9.98169,	0x0000,	10.5922,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	53.9988,	0x0000,
	2016-3-10 17:44:00,	-3.51038,	0x1300,	4.18193,	0x0000,	0.152625,	0x0000,	7.35653,	0x0000,	5.95238,	0x0000,	1.31258,	0x0000,	-0.396824,	0x0200,	51.0073,	0x0000,
	2016-3-10 17:45:00,	-3.51038,	0x1300,	3.14408,	0x0000,	0.152625,	0x0000,	6.31868,	0x0000,	0.579976,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	52.9609,	0x0000,
	2016-3-10 17:46:00,	-3.51038,	0x1300,	0.763126,	0x0000,	0.152625,	0x0000,	3.81563,	0x0000,	0.579976,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	53.4493,	0x0000,
	2016-3-10 17:47:00,	-3.51038,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.28938,	0x0000,	2.47253,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	51.801,	0x0000,
	2016-3-10 17:48:00,	-3.51038,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	3.38828,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	53.3883,	0x0000,
	2016-3-10 17:49:00,	-3.44933,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	2.10623,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	55.6471,	0x0000,
	2016-3-10 17:50:00,	-3.44933,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	3.75458,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	56.8681,	0x0000,
	2016-3-10 17:51:00,	-3.44933,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	4.48718,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	58.8828,	0x0000,
	2016-3-10 17:52:00,	-3.44933,	0x1300,	-0.518925,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	4.48718,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	61.0195,	0x0000,
	2016-3-10 17:53:00,	-3.44933,	0x1300,	-0.457875,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	6.01343,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	63.7057,	0x0000,
	2016-3-10 17:54:00,	-3.44933,	0x1300,	-0.457875,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	4.73138,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	65.9035,	0x0000,
	2016-3-10 17:55:00,	-3.44933,	0x1300,	-0.457875,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	4.85348,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	66.1477,	0x0000,
	2016-3-10 17:56:00,	-3.44933,	0x1300,	-0.457875,	0x0200,	0.152625,	0x0000,	2.04518,	0x0000,	7.84493,	0x0000,	1.61783,	0x0000,	-0.457875,	0x0200,	68.1013,	0x0000,
	2016-3-10 17:57:00,	-3.44933,	0x1300,	1.80098,	0x0000,	0.091576,	0x0000,	4.48718,	0x0000,	10.0427,	0x0000,	2.83883,	0x0000,	-0.457875,	0x0200,	72.8633,	0x0000,
	2016-3-10 17:58:00,	-3.44933,	0x1300,	2.83883,	0x0000,	0.091576,	0x0000,	5.76923,	0x0000,	12.1184,	0x0000,	2.47253,	0x0000,	-0.457875,	0x0200,	75.1221,	0x0000,
	2016-3-10 17:59:00,	-3.44933,	0x1300,	0.824176,	0x0000,	0.091576,	0x0000,	4.05983,	0x0000,	13.5226,	0x0000,	1.43468,	0x0000,	-0.457875,	0x0200,	75.3053,	0x0000,
	2016-3-10 18:00:00,	-3.44933,	0x1300,	0.335776,	0x0000,	0.091576,	0x0000,	3.32723,	0x0000,	15.7204,	0x0000,	1.43468,	0x0000,	-0.457875,	0x0200,	75.9158,	0x0000,
	2016-3-10 18:01:00,	-3.44933,	0x1300,	2.65568,	0x0000,	0.091576,	0x0000,	5.64713,	0x0000,	18.2234,	0x0000,	1.31258,	0x0000,	-0.457875,	0x0200,	80.7998,	0x0000,
	2016-3-10 18:02:00,	-3.51038,	0x1300,	2.65568,	0x0000,	0.091576,	0x0000,	5.64713,	0x0000,	21.0317,	0x0000,	1.43468,	0x0000,	-0.457875,	0x0200,	81.8987,	0x0000,
	2016-3-10 18:03:00,	-3.51038,	0x1300,	4.60928,	0x0000,	0.091576,	0x0000,	7.53968,	0x0000,	23.9011,	0x0000,	1.80098,	0x0000,	-0.457875,	0x0200,	84.2796,	0x0000,
	2016-3-10 18:04:00,	-3.51038,	0x1300,	5.15873,	0x0000,	0.091576,	0x0000,	8.08913,	0x0000,	25.7936,	0x0000,	1.43468,	0x0000,	-0.457875,	0x0200,	85.989,	0x0000,
	2016-3-10 18:05:00,	-3.51038,	0x1300,	7.60073,	0x0000,	0.091576,	0x0000,	10.409,	0x0000,	30.1282,	0x0000,	1.37363,	0x0000,	-0.457875,	0x0200,	90.0794,	0x0000,
	2016-3-10 18:06:00,	-3.02198,	0x1300,	9.43224,	0x0000,	1.86203,	0x0000,	12.1184,	0x0000,	36.1111,	0x0000,	1.86203,	0x0000,	-0.457875,	0x0200,	94.0476,	0x0000,
	2016-3-10 18:07:00,	2.22833,	0x0000,	12.1795,	0x0000,	0.641025,	0x0000,	14.7436,	0x0000,	38.7973,	0x0000,	3.38828,	0x0000,	-0.396824,	0x0200,	96.6117,	0x0000,
	2016-3-10 18:08:00,	-3.14408,	0x1300,	13.5836,	0x0000,	-0.0305248,	0x0200,	16.0256,	0x0000,	41.9109,	0x0000,	3.87668,	0x0000,	-0.396824,	0x0200,	98.0159,	0x0000,
	2016-3-10 18:09:00,	-3.20513,	0x1300,	15.5372,	0x0000,	-0.0305248,	0x0200,	18.7118,	0x0000,	45.5739,	0x0000,	4.79243,	0x0000,	-0.396824,	0x0200,	99.2979,	0x0000,
	2016-3-10 18:10:00,	2.35043,	0x0000,	18.8339,	0x0000,	3.69353,	0x0000,	20.8486,	0x0000,	51.3126,	0x0000,	6.99023,	0x0000,	2.65568,	0x0000,	99.2979,	0x0000,
	2016-3-10 18:11:00,	3.63248,	0x0000,	22.4359,	0x0000,	4.48718,	0x0000,	24.4506,	0x0000,	57.967,	0x0000,	9.12698,	0x0000,	1.98413,	0x0000,	99.2979,	0x0000,
	2016-3-10 18:12:00,	5.21978,	0x0000,	25.1221,	0x0000,	6.13553,	0x0000,	27.1978,	0x0000,	63.3394,	0x0000,	10.8974,	0x0000,	2.35043,	0x0000,	99.7253,	0x0000,
