date,MWValue,MWState,SELMWValue,SELMWState
2016-2-20 02:05:00,104.069,0x0000, 104.069,0x0000,
2016-2-20 02:10:00,122.912,0x0000, 122.912,0x0000,
2016-2-20 02:15:00,161.456,0x0000, 161.456,0x0000,
2016-2-20 02:20:00,164.882,0x0000, 164.882,0x0000,
2016-2-20 02:25:00,181.157,0x0000, 181.157,0x0000,
2016-2-20 02:30:00,190.578,0x0000, 190.578,0x0000,
2016-2-20 02:35:00,201.713,0x0000, 201.713,0x0000,
2016-2-20 02:40:00,214.561,0x0000, 214.561,0x0000,
2016-2-20 02:45:00,210.279,0x0000, 210.279,0x0000,
2016-2-20 02:50:00,213.705,0x0000, 213.705,0x0000,
2016-2-20 02:55:00,229.122,0x0000, 229.122,0x0000,
2016-2-20 03:00:00,239.401,0x0000, 239.401,0x0000,
2016-2-20 03:05:00,243.683,0x0000, 243.683,0x0000,
2016-2-20 03:10:00,245.397,0x0000, 245.397,0x0000,
2016-2-20 03:15:00,244.54, 0x0000, 244.54, 0x0000,
2016-2-20 03:20:00,246.253,0x0000, 246.253,0x0000,
2016-2-20 03:25:00,251.392,0x0000, 251.392,0x0000,
2016-2-20 03:30:00,265.953,0x0000, 265.953,0x0000,
2016-2-20 03:35:00,253.962,0x0000, 253.962,0x0000,
2016-2-20 03:40:00,259.101,0x0000, 259.101,0x0000,
2016-2-20 03:45:00,268.523,0x0000, 268.523,0x0000,
2016-2-20 03:50:00,260.814,0x0000, 260.814,0x0000,
2016-2-20 03:55:00,280.514,0x0000, 280.514,0x0000,
2016-2-20 04:00:00,314.776,0x0000, 314.776,0x0000,
2016-2-20 04:05:00,279.658,0x0000, 279.658,0x0000,
2016-2-20 04:10:00,307.067,0x0000, 307.067,0x0000,
2016-2-20 04:15:00,337.046,0x0000, 337.046,0x0000,
2016-2-20 04:20:00,339.615,0x0000, 339.615,0x0000,
2016-2-20 04:25:00,337.902,0x0000, 337.902,0x0000,
2016-2-20 04:30:00,347.324,0x0000, 347.324,0x0000,
2016-2-20 04:35:00,353.32, 0x0000, 353.32, 0x0000,
2016-2-20 04:40:00,350.75, 0x0000, 350.75, 0x0000,
2016-2-20 04:45:00,364.454,0x0000, 364.454,0x0000,
2016-2-20 04:50:00,378.159,0x0000, 378.159,0x0000,
2016-2-20 04:55:00,386.724,0x0000, 386.724,0x0000,
2016-2-20 05:00:00,403.855,0x0000, 403.855,0x0000,
2016-2-20 05:05:00,418.416,0x0000, 418.416,0x0000,
2016-2-20 05:10:00,432.977,0x0000, 432.977,0x0000,
2016-2-20 05:15:00,460.386,0x0000, 460.386,0x0000,
2016-2-20 05:20:00,444.969,0x0000, 444.969,0x0000,
2016-2-20 05:25:00,456.103,0x0000, 456.103,0x0000,
2016-2-20 05:30:00,449.251,0x0000, 449.251,0x0000,
2016-2-20 05:35:00,444.969,0x0000, 444.969,0x0000,
2016-2-20 05:40:00,449.251,0x0000, 449.251,0x0000,
2016-2-20 05:45:00,449.251,0x0000, 449.251,0x0000,
2016-2-20 05:50:00,460.386,0x0000, 460.386,0x0000,
2016-2-20 05:55:00,480.943,0x0000, 480.943,0x0000,
2016-2-20 06:00:00,481.799,0x0000, 481.799,0x0000,
2016-2-20 06:05:00,488.652,0x0000, 488.652,0x0000,
2016-2-20 06:10:00,492.078,0x0000, 492.078,0x0000,
2016-2-20 06:15:00,501.5,  0x0000, 501.5,  0x0000,
2016-2-20 06:20:00,504.926,0x0000, 504.069,0x0000,
2016-2-20 06:25:00,515.204,0x0000, 515.204,0x0000,
2016-2-20 06:30:00,514.348,0x0000, 514.348,0x0000,
2016-2-20 06:35:00,514.348,0x0000, 514.348,0x0000,
2016-2-20 06:40:00,523.77, 0x0000, 523.77, 0x0000,
2016-2-20 06:45:00,528.052,0x0000, 528.909,0x0000,
2016-2-20 06:50:00,536.618,0x0000, 536.618,0x0000,
2016-2-20 06:55:00,547.752,0x0000, 547.752,0x0000,
2016-2-20 07:00:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 07:05:00,552.892,0x0000, 552.892,0x0000,
2016-2-20 07:10:00,551.179,0x0000, 551.179,0x0000,
2016-2-20 07:15:00,547.752,0x0000, 547.752,0x0000,
2016-2-20 07:20:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 07:25:00,550.322,0x0000, 550.322,0x0000,
2016-2-20 07:30:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 07:35:00,551.179,0x0000, 551.179,0x0000,
2016-2-20 07:40:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 07:45:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 07:50:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 07:55:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 08:00:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 08:05:00,552.035,0x0000, 552.035,0x0000,
2016-2-20 08:10:00,553.748,0x0000, 553.748,0x0000,
2016-2-20 08:15:00,547.752,0x0000, 547.752,0x0000,
2016-2-20 08:20:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 08:25:00,551.179,0x0000, 551.179,0x0000,
2016-2-20 08:30:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 08:35:00,549.466,0x0000, 549.466,0x0000,
2016-2-20 08:40:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 08:45:00,548.609,0x0000, 548.609,0x0000,
2016-2-20 08:50:00,550.322,0x0000, 550.322,0x0000,
2016-2-20 08:55:00,569.166,0x0000, 569.166,0x0000,
2016-2-20 09:00:00,588.866,0x0000, 588.866,0x0000,
2016-2-20 09:05:00,611.992,0x0000, 611.992,0x0000,
2016-2-20 09:10:00,627.41, 0x0000, 627.41, 0x0000,
2016-2-20 09:15:00,649.68, 0x0000, 649.68, 0x0000,
2016-2-20 09:20:00,662.528,0x0000, 662.528,0x0000,
2016-2-20 09:25:00,682.228,0x0000, 682.228,0x0000,
2016-2-20 09:30:00,695.076,0x0000, 695.076,0x0000,
2016-2-20 09:35:00,701.072,0x0000, 701.072,0x0000,
2016-2-20 09:40:00,701.072,0x0000, 701.072,0x0000,
2016-2-20 09:45:00,710.494,0x0000, 710.494,0x0000,
2016-2-20 09:50:00,722.485,0x0000, 722.485,0x0000,
2016-2-20 09:55:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:00:00,718.202,0x0000, 718.202,0x0000,
2016-2-20 10:05:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:10:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:15:00,719.059,0x0000, 719.059,0x0000,
2016-2-20 10:20:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:25:00,722.485,0x0000, 722.485,0x0000,
2016-2-20 10:30:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:35:00,719.059,0x0000, 719.059,0x0000,
2016-2-20 10:40:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 10:45:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 10:50:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 10:55:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:00:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:05:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:10:00,720.772,0x0000, 720.772,0x0000,
2016-2-20 11:15:00,719.915,0x0000, 719.915,0x0000,
2016-2-20 11:20:00,700.215,0x0000, 700.215,0x0000,
2016-2-20 11:25:00,696.789,0x0000, 696.789,0x0000,
2016-2-20 11:30:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 11:35:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 11:40:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 11:45:00,692.506,0x0000, 692.506,0x0000,
2016-2-20 11:50:00,688.224,0x0000, 688.224,0x0000,
2016-2-20 11:55:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-20 12:00:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:05:00,691.65, 0x0000, 691.65, 0x0000,
2016-2-20 12:10:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:15:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:25:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 12:30:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:35:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:40:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 12:45:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:50:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 12:55:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:00:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:05:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:10:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:15:00,687.367,0x0000, 687.367,0x0000,
2016-2-20 13:20:00,689.937,0x0000, 689.937,0x0000,
2016-2-20 13:25:00,690.793,0x0000, 690.793,0x0000,
2016-2-20 13:30:00,689.08, 0x0000, 689.08, 0x0000,
2016-2-20 13:35:00,689.08, 0x0000, 689.08, 0x0000,
