date,MWValue,MWState,SELMWValue,SELMWState,MSP,MSPState,MSPS,MSPSState,THRTEMP,THRTEMPState
2016-3-1 00:00:00, 788.438,0x0000, 788.438,0x0000, 25.8974,0x0000, 25.8852,0x0000, 601.196,0x0000
2016-3-1 00:05:00, 805.569,0x0000, 805.569,0x0000, 26.5201,0x0000, 26.2677,0x0000, 599.94, 0x0000
2016-3-1 00:10:00, 817.56, 0x0000, 817.56, 0x0000, 26.7033,0x0000, 26.7763,0x0000, 599.311,0x0000
2016-3-1 00:15:00, 806.425,0x0000, 806.425,0x0000, 26.8864,0x0000, 26.6706,0x0000, 600.876,0x0000
2016-3-1 00:20:00, 814.991,0x0000, 814.991,0x0000, 26.9475,0x0000, 26.8073,0x0000, 599.961,0x0000
2016-3-1 00:25:00, 808.995,0x0000, 808.995,0x0000, 27.1917,0x0000, 26.871, 0x0000, 598.725,0x0000
2016-3-1 00:30:00, 817.56, 0x0000, 817.56, 0x0000, 27.0085,0x0000, 27.0243,0x0000, 596.212,0x0000
2016-3-1 00:35:00, 817.56, 0x0000, 817.56, 0x0000, 26.7643,0x0000, 26.8586,0x0000, 598.412,0x0000
2016-3-1 00:40:00, 817.56, 0x0000, 817.56, 0x0000, 26.4591,0x0000, 26.6512,0x0000, 595.899,0x0000
2016-3-1 00:45:00, 811.564,0x0000, 811.564,0x0000, 26.6422,0x0000, 26.7122,0x0000, 600.038,0x0000
2016-3-1 00:50:00, 816.704,0x0000, 816.704,0x0000, 26.6422,0x0000, 26.7752,0x0000, 600.963,0x0000
2016-3-1 00:55:00, 824.412,0x0000, 824.412,0x0000, 27.0696,0x0000, 26.9944,0x0000, 602.507,0x0000
2016-3-1 01:00:00, 814.134,0x0000, 814.134,0x0000, 27.1306,0x0000, 26.7867,0x0000, 595.457,0x0000
2016-3-1 01:05:00, 817.56, 0x0000, 817.56, 0x0000, 26.8864,0x0000, 26.6996,0x0000, 596.363,0x0000
2016-3-1 01:10:00, 818.417,0x0000, 818.417,0x0000, 27.0085,0x0000, 26.8854,0x0000, 599.164,0x0000
2016-3-1 01:15:00, 823.556,0x0000, 823.556,0x0000, 26.8864,0x0000, 27.216, 0x0000, 598.832,0x0000
2016-3-1 01:20:00, 817.56, 0x0000, 817.56, 0x0000, 26.5812,0x0000, 27.01,  0x0000, 594.444,0x0000
2016-3-1 01:25:00, 823.556,0x0000, 823.556,0x0000, 26.337, 0x0000, 26.7981,0x0000, 596.941,0x0000
2016-3-1 01:30:00, 814.991,0x0000, 814.991,0x0000, 26.5812,0x0000, 26.8133,0x0000, 601.006,0x0000
2016-3-1 01:35:00, 810.708,0x0000, 810.708,0x0000, 26.7033,0x0000, 26.6584,0x0000, 601.329,0x0000
2016-3-1 01:40:00, 802.999,0x0000, 802.999,0x0000, 26.8254,0x0000, 26.6161,0x0000, 600.686,0x0000
2016-3-1 01:45:00, 803.856,0x0000, 803.856,0x0000, 26.8254,0x0000, 26.4016,0x0000, 596.539,0x0000
2016-3-1 01:50:00, 791.008,0x0000, 791.008,0x0000, 26.7643,0x0000, 26.4073,0x0000, 597.511,0x0000
2016-3-1 01:55:00, 800.43, 0x0000, 800.43, 0x0000, 26.4591,0x0000, 26.2894,0x0000, 597.789,0x0000
2016-3-1 02:00:00, 787.581,0x0000, 787.581,0x0000, 26.5812,0x0000, 26.3395,0x0000, 601.827,0x0000
2016-3-1 02:05:00, 785.012,0x0000, 785.012,0x0000, 26.337, 0x0000, 26.3514,0x0000, 599.002,0x0000
2016-3-1 02:10:00, 795.29, 0x0000, 795.29, 0x0000, 25.9096,0x0000, 26.0733,0x0000, 598.383,0x0000
2016-3-1 02:15:00, 787.581,0x0000, 787.581,0x0000, 26.0317,0x0000, 26.0869,0x0000, 601.554,0x0000
2016-3-1 02:20:00, 793.577,0x0000, 793.577,0x0000, 26.2149,0x0000, 26.2257,0x0000, 598.726,0x0000
