时间,UNIT3:HHA71AS001XQ01数值,UNIT3:HHA71AS001XQ01状态,UNIT3:HHA72AS001XQ01数值,UNIT3:HHA72AS001XQ01状态,UNIT3:HHA73AS001XQ01数值,UNIT3:HHA73AS001XQ01状态,UNIT3:HHA74AS001XQ01数值,UNIT3:HHA74AS001XQ01状态,UNIT3:HHA81AS001XQ01数值,UNIT3:HHA81AS001XQ01状态,UNIT3:HHA82AS001XQ01数值,UNIT3:HHA82AS001XQ01状态,UNIT3:HHA83AS001XQ01数值,UNIT3:HHA83AS001XQ01状态,UNIT3:HHA84AS001XQ01数值,UNIT3:HHA84AS001XQ01状态,
	2016-3-14 21:20:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 21:30:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 21:40:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 21:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:00:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:10:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:20:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:30:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:40:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
	2016-3-14 22:50:00,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,	85,	0x0000,
