时间,UNIT3:LAF21CG101XQ01数值,UNIT3:LAF21CG101XQ01状态,UNIT3:LAF22CG101XQ01数值,UNIT3:LAF22CG101XQ01状态,UNIT3:LAF31CG101XQ01数值,UNIT3:LAF31CG101XQ01状态,UNIT3:LAF32CG101XQ01数值,UNIT3:LAF32CG101XQ01状态,UNIT3:LAF33CG101XQ01数值,UNIT3:LAF33CG101XQ01状态,UNIT3:LAF34CG101XQ01数值,UNIT3:LAF34CG101XQ01状态,
	2016-3-3 18:40:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:41:00,	0.152625,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:42:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:43:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:44:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:45:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:46:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:47:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:48:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:49:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:50:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:51:00,	0.152625,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:52:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:53:00,	0.152625,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:54:00,	0.152625,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:55:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:56:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:57:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 18:58:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 18:59:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:00:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:01:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:02:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:03:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:04:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:05:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:06:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:07:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:08:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:09:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:10:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:11:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:12:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:13:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:14:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:15:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:16:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:17:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:18:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:19:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:20:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:21:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:22:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:23:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:24:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:25:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:26:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:27:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:28:00,	0.152625,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:29:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:30:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:31:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:32:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:33:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:34:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:35:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:36:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.518926,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
	2016-3-3 19:37:00,	0.213675,	0x0000,	0.457875,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.26618,	0x0000,
	2016-3-3 19:38:00,	0.213675,	0x0000,	0.518926,	0x0000,	0.824176,	0x0000,	0.579976,	0x0000,	0.274726,	0x0000,	3.32723,	0x0000,
