时间,UNIT3:HNA00AA001AXQ01数值,UNIT3:HNA00AA001AXQ01状态,UNIT3:HNA00AA001BXQ01数值,UNIT3:HNA00AA001BXQ01状态,UNIT3:HNA00AA002AXQ01数值,UNIT3:HNA00AA002AXQ01状态,UNIT3:HNA00AA002BXQ01数值,UNIT3:HNA00AA002BXQ01状态,
	2016-3-28 18:40:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 18:50:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:00:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:10:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:20:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:30:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:40:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 19:50:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:00:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:10:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:20:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:30:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:40:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 20:50:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:00:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:10:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:20:00,	60,	0x0000,	60,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:30:00,	80,	0x0000,	80,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:40:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 21:50:00,	100,	0x0000,	100,	0x0000,	80,	0x0000,	80,	0x0000,
	2016-3-28 22:00:00,	100,	0x0000,	100,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-28 22:10:00,	100,	0x0000,	100,	0x0000,	90,	0x0000,	90,	0x0000,
	2016-3-28 22:20:00,	85,	0x0000,	85,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 22:30:00,	85,	0x0000,	85,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 22:40:00,	85,	0x0000,	85,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 22:50:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:00:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:10:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:20:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:30:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:40:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-28 23:50:00,	50,	0x0000,	50,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:00:00,	50,	0x0000,	50,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:10:00,	100,	0x0000,	100,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:20:00,	88,	0x0000,	88,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:30:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:40:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 00:50:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
	2016-3-29 01:00:00,	70,	0x0000,	70,	0x0000,	100,	0x0000,	100,	0x0000,
