num,date,HNA00AA001AXQ01Value,HNA00AA001BXQ01Value,HNA00AA002AXQ01Value,HNA00AA002BXQ01Value
0,2016-3-1 00:00:00,100,100,85,85
1,2016-3-1 00:10:00,100,100,85,85
2,2016-3-1 00:20:00,100,100,85,85
3,2016-3-1 00:30:00,100,100,85,85
4,2016-3-1 00:40:00,100,100,85,85
5,2016-3-1 00:50:00,100,100,85,85
6,2016-3-1 01:00:00,100,100,85,85
7,2016-3-1 01:10:00,100,100,85,85
8,2016-3-1 01:20:00,100,100,85,85
9,2016-3-1 01:30:00,100,100,77,77
10,2016-3-1 01:40:00,100,100,77,77
11,2016-3-1 01:50:00,100,100,77,77
12,2016-3-1 02:00:00,100,100,81,81
13,2016-3-1 02:10:00,100,100,81,81
14,2016-3-1 02:20:00,100,100,81,81
15,2016-3-1 02:30:00,100,100,81,81
16,2016-3-1 02:40:00,100,100,81,81
17,2016-3-1 02:50:00,100,100,81,81
18,2016-3-1 03:00:00,100,100,81,81
19,2016-3-1 03:10:00,100,100,81,81
20,2016-3-1 03:20:00,100,100,81,81
21,2016-3-1 03:30:00,100,100,81,81
22,2016-3-1 03:40:00,100,100,81,81
23,2016-3-1 03:50:00,100,100,81,81
24,2016-3-1 04:00:00,100,100,81,81
25,2016-3-1 04:10:00,100,100,81,81
26,2016-3-1 04:20:00,100,100,81,81
27,2016-3-1 04:30:00,100,100,81,81
28,2016-3-1 04:40:00,100,100,81,81
29,2016-3-1 04:50:00,100,100,81,81
30,2016-3-1 05:00:00,100,100,81,81
31,2016-3-1 05:10:00,100,100,81,81
32,2016-3-1 05:20:00,100,100,81,81
33,2016-3-1 05:30:00,100,100,81,81
34,2016-3-1 05:40:00,100,100,81,81
35,2016-3-1 05:50:00,100,100,77,77
36,2016-3-1 06:00:00,100,100,77,77
37,2016-3-1 06:10:00,100,100,77,77
38,2016-3-1 06:20:00,100,100,69,69
39,2016-3-1 06:30:00,100,100,69,69
40,2016-3-1 06:40:00,100,100,69,69
41,2016-3-1 06:50:00,100,100,69,69
42,2016-3-1 07:00:00,100,100,69,69
43,2016-3-1 07:10:00,100,100,69,69
44,2016-3-1 07:20:00,100,100,69,69
45,2016-3-1 07:30:00,100,100,73,73
46,2016-3-1 07:40:00,100,100,73,73
47,2016-3-1 07:50:00,100,100,73,73
48,2016-3-1 08:00:00,100,100,73,73
49,2016-3-1 08:10:00,100,100,70,70
50,2016-3-1 08:20:00,100,100,70,70
51,2016-3-1 08:30:00,100,100,70,70
52,2016-3-1 08:40:00,100,100,70,70
53,2016-3-1 08:50:00,100,100,70,70
54,2016-3-1 09:00:00,100,100,70,70
55,2016-3-1 09:10:00,100,100,70,70
56,2016-3-1 09:20:00,100,100,70,70
57,2016-3-1 09:30:00,100,100,70,70
58,2016-3-1 09:40:00,100,100,70,70
59,2016-3-1 09:50:00,100,100,70,70
60,2016-3-1 10:00:00,100,100,70,70
61,2016-3-1 10:10:00,100,100,70,70
62,2016-3-1 10:20:00,100,100,70,70
63,2016-3-1 10:30:00,100,100,75,75
64,2016-3-1 10:40:00,100,100,75,75
65,2016-3-1 10:50:00,100,100,80,80
66,2016-3-1 11:00:00,100,100,80,80
67,2016-3-1 11:10:00,100,100,80,80
68,2016-3-1 11:20:00,100,100,80,80
69,2016-3-1 11:30:00,100,100,75,75
