时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-1 00:00:00,	79.2125,	0x0000,	35.3785,	0x0000,	43.5592,	0x0000,	99.1758,	0x0000,	78.7851,	0x0000,	101.74,	0x2300,	94.475,	0x0000,	98.0769,	0x0000,
	2016-3-1 00:01:00,	80.5556,	0x0000,	38.2479,	0x0000,	44.1697,	0x0000,	99.2369,	0x0000,	81.7155,	0x0000,	101.74,	0x2300,	97.6496,	0x0000,	98.199,	0x0000,
	2016-3-1 00:02:00,	81.7155,	0x0000,	38.8584,	0x0000,	43.7424,	0x0000,	99.1148,	0x0000,	84.768,	0x0000,	101.74,	0x2300,	99.4811,	0x0000,	98.199,	0x0000,
	2016-3-1 00:03:00,	80.3114,	0x0000,	40.6288,	0x0000,	42.4603,	0x0000,	98.9927,	0x0000,	87.6374,	0x0000,	101.74,	0x2300,	99.4811,	0x0000,	98.199,	0x0000,
	2016-3-1 00:04:00,	77.0147,	0x0000,	41.6056,	0x0000,	39.8962,	0x0000,	99.1148,	0x0000,	89.2857,	0x0000,	101.74,	0x2300,	99.6032,	0x0000,	98.199,	0x0000,
	2016-3-1 00:05:00,	77.2589,	0x0000,	45.2076,	0x0000,	43.254,	0x0000,	99.0537,	0x0000,	95.8791,	0x0000,	101.74,	0x2300,	99.4811,	0x0000,	98.199,	0x0000,
	2016-3-1 00:06:00,	79.0293,	0x0000,	44.5971,	0x0000,	41.6667,	0x0000,	99.2979,	0x0000,	98.9316,	0x0000,	101.74,	0x2300,	99.6032,	0x0000,	98.2601,	0x0000,
	2016-3-1 00:07:00,	77.8083,	0x0000,	46.0623,	0x0000,	44.5971,	0x0000,	99.0537,	0x0000,	98.9316,	0x0000,	101.74,	0x2300,	99.9084,	0x0000,	98.138,	0x0000,
	2016-3-1 00:08:00,	78.1135,	0x0000,	44.7192,	0x0000,	43.0098,	0x0000,	99.0537,	0x0000,	98.9316,	0x0000,	101.74,	0x2300,	99.8474,	0x0000,	98.138,	0x0000,
	2016-3-1 00:09:00,	75.1832,	0x0000,	46.0012,	0x0000,	42.1551,	0x0000,	98.9316,	0x0000,	97.1001,	0x0000,	101.74,	0x2300,	99.9695,	0x0000,	98.138,	0x0000,
	2016-3-1 00:10:00,	77.2589,	0x0000,	47.7717,	0x0000,	42.5214,	0x0000,	98.9927,	0x0000,	98.3211,	0x0000,	101.74,	0x2300,	99.9695,	0x0000,	98.138,	0x0000,
