时间,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,
	2016-3-7 22:40:00,	0.824176,	0x0000,	45.1465,	0x0000,	47.8327,	0x0000,	1.73993,	0x0000,	25.1221,	0x0000,	40.2625,	0x0000,	47.2222,	0x0000,	50.7631,	0x0000,
	2016-3-7 22:41:00,	1.98413,	0x0000,	46.3065,	0x0000,	48.3211,	0x0000,	2.10623,	0x0000,	27.6252,	0x0000,	42.094,	0x0000,	50.0305,	0x0000,	53.5714,	0x0000,
	2016-3-7 22:42:00,	0.702076,	0x0000,	46.978,	0x0000,	50.5189,	0x0000,	3.08303,	0x0000,	32.0208,	0x0000,	44.475,	0x0000,	54.4261,	0x0000,	54.4872,	0x0000,
	2016-3-7 22:43:00,	0.824176,	0x0000,	47.4054,	0x0000,	51.4347,	0x0000,	-0.0305248,	0x0200,	33.7302,	0x0000,	45.5128,	0x0000,	55.9524,	0x0000,	55.8913,	0x0000,
	2016-3-7 22:44:00,	0.824176,	0x0000,	47.0391,	0x0000,	50.3358,	0x0000,	1.43468,	0x0000,	35.4396,	0x0000,	47.7717,	0x0000,	57.6007,	0x0000,	58.0891,	0x0000,
	2016-3-7 22:45:00,	0.824176,	0x0000,	45.4518,	0x0000,	50.8242,	0x0000,	1.73993,	0x0000,	38.0037,	0x0000,	48.6874,	0x0000,	60.2869,	0x0000,	58.8217,	0x0000,
	2016-3-7 22:46:00,	0.824176,	0x0000,	46.2454,	0x0000,	52.0452,	0x0000,	2.83883,	0x0000,	42.3993,	0x0000,	50.9463,	0x0000,	64.8657,	0x0000,	61.1416,	0x0000,
	2016-3-7 22:47:00,	0.824176,	0x0000,	45.5128,	0x0000,	52.0452,	0x0000,	-0.763125,	0x0200,	46.2454,	0x0000,	51.862,	0x0000,	68.4066,	0x0000,	62.0574,	0x0000,
	2016-3-7 22:48:00,	0.824176,	0x0000,	47.3443,	0x0000,	50.0916,	0x0000,	-1.67888,	0x1300,	49.1758,	0x0000,	53.9988,	0x0000,	71.0928,	0x0000,	64.2552,	0x0000,
	2016-3-7 22:49:00,	0.824176,	0x0000,	47.3443,	0x0000,	53.6325,	0x0000,	-1.67888,	0x1300,	53.3883,	0x0000,	58.0281,	0x0000,	75.5495,	0x0000,	67.8571,	0x0000,
	2016-3-7 22:50:00,	0.824176,	0x0000,	49.2979,	0x0000,	56.0745,	0x0000,	-1.43468,	0x1300,	56.9292,	0x0000,	61.5079,	0x0000,	79.0904,	0x0000,	71.1538,	0x0000,
	2016-3-7 22:51:00,	0.824176,	0x0000,	50.5189,	0x0000,	56.5629,	0x0000,	0.702076,	0x0000,	61.569,	0x0000,	66.3919,	0x0000,	83.547,	0x0000,	75.9158,	0x0000,
	2016-3-7 22:52:00,	0.824176,	0x0000,	49.5421,	0x0000,	54.6093,	0x0000,	0.885227,	0x0000,	65.7814,	0x0000,	68.6508,	0x0000,	87.6374,	0x0000,	78.2357,	0x0000,
