date,MW,MWState,MSP,MSPState,THRTEMP,THRTEMPState,YRHRPRS,YRHRPRSState,RRHRPRS,RRHRPRSState,YRHRTEMPT,YRHRTEMPTState,RRHRTEMPT,RRHRTEMPTState,MWD2,MWD2State
2016-3-1 00:00:00,788.438,0x0000,25.8974,0x0000,601.196,0x0000,7.96474,0x0000,2.62744,0x0000,592.682,0x0000,591.569,0x0000,792.44,0x0000
2016-3-1 00:05:00,805.569,0x0000,26.5201,0x0000,599.94,0x0000,7.96474,0x0000,2.62744,0x0000,593.141,0x0000,592.89,0x0000,810.824,0x0000
2016-3-1 00:10:00,817.56,0x0000,26.7033,0x0000,599.311,0x0000,7.96474,0x0000,2.62744,0x0000,593.805,0x0000,594.541,0x0000,817.544,0x0000
2016-3-1 00:15:00,806.425,0x0000,26.8864,0x0000,600.876,0x0000,7.96474,0x0000,2.62744,0x0000,594.983,0x0000,595.808,0x0000,806.96,0x0000
2016-3-1 00:20:00,814.991,0x0000,26.9475,0x0000,599.961,0x0000,7.96474,0x0000,2.62744,0x0000,594.851,0x0000,595.916,0x0000,809.176,0x0000
2016-3-1 00:25:00,808.995,0x0000,27.1917,0x0000,598.725,0x0000,7.96474,0x0000,2.62744,0x0000,594.026,0x0000,595.586,0x0000,811.489,0x0000
2016-3-1 00:30:00,817.56,0x0000,27.0085,0x0000,596.212,0x0000,7.96474,0x0000,2.62744,0x0000,592.01,0x0000,594.276,0x0000,812.17,0x0000
2016-3-1 00:35:00,817.56,0x0000,26.7643,0x0000,598.412,0x0000,7.96474,0x0000,2.62744,0x0000,591.902,0x0000,594.377,0x0000,818.681,0x0000
2016-3-1 00:40:00,817.56,0x0000,26.4591,0x0000,595.899,0x0000,7.96474,0x0000,2.62744,0x0000,590.305,0x0000,591.955,0x0000,815.751,0x0000
2016-3-1 00:45:00,811.564,0x0000,26.6422,0x0000,600.038,0x0000,7.96474,0x0000,2.62744,0x0000,590.478,0x0000,592.541,0x0000,812.463,0x0000
2016-3-1 00:50:00,816.704,0x0000,26.6422,0x0000,600.963,0x0000,7.96474,0x0000,2.62744,0x0000,590.908,0x0000,592.882,0x0000,815.751,0x0000
2016-3-1 00:55:00,824.412,0x0000,27.0696,0x0000,602.507,0x0000,7.96474,0x0000,2.62744,0x0000,592.738,0x0000,594.478,0x0000,823.81,0x0000
2016-3-1 01:00:00,814.134,0x0000,27.1306,0x0000,595.457,0x0000,7.96474,0x0000,2.62744,0x0000,591.853,0x0000,594.256,0x0000,812.821,0x0000
2016-3-1 01:05:00,817.56,0x0000,26.8864,0x0000,596.363,0x0000,7.96474,0x0000,2.62744,0x0000,590.92,0x0000,593.933,0x0000,821.612,0x0000
2016-3-1 01:10:00,818.417,0x0000,27.0085,0x0000,599.164,0x0000,7.96474,0x0000,2.62744,0x0000,591.236,0x0000,593.981,0x0000,825.275,0x0000
2016-3-1 01:15:00,823.556,0x0000,26.8864,0x0000,598.832,0x0000,7.96474,0x0000,2.62744,0x0000,590.877,0x0000,593.945,0x0000,823.223,0x0000
2016-3-1 01:20:00,817.56,0x0000,26.5812,0x0000,594.444,0x0000,7.96474,0x0000,2.62744,0x0000,588.557,0x0000,591.606,0x0000,813.644,0x0000
2016-3-1 01:25:00,823.556,0x0000,26.337,0x0000,596.941,0x0000,7.96474,0x0000,2.62744,0x0000,588.073,0x0000,590.96,0x0000,823.077,0x0000
2016-3-1 01:30:00,814.991,0x0000,26.5812,0x0000,601.006,0x0000,7.96474,0x0000,2.62744,0x0000,589.519,0x0000,591.725,0x0000,815.018,0x0000
2016-3-1 01:35:00,810.708,0x0000,26.7033,0x0000,601.329,0x0000,7.96474,0x0000,2.62744,0x0000,590.326,0x0000,592.066,0x0000,808.291,0x0000
2016-3-1 01:40:00,802.999,0x0000,26.8254,0x0000,600.686,0x0000,7.96474,0x0000,2.62744,0x0000,591.546,0x0000,591.97,0x0000,798.492,0x0000
2016-3-1 01:45:00,803.856,0x0000,26.8254,0x0000,596.539,0x0000,7.96474,0x0000,2.62744,0x0000,591.636,0x0000,591.091,0x0000,803.994,0x0000
2016-3-1 01:50:00,791.008,0x0000,26.7643,0x0000,597.511,0x0000,7.96474,0x0000,2.62744,0x0000,591.629,0x0000,590.23,0x0000,796.14,0x0000
2016-3-1 01:55:00,800.43,0x0000,26.4591,0x0000,597.789,0x0000,7.96474,0x0000,2.62744,0x0000,590.643,0x0000,589.494,0x0000,799.412,0x0000
2016-3-1 02:00:00,787.581,0x0000,26.5812,0x0000,601.827,0x0000,7.96474,0x0000,2.62744,0x0000,590.965,0x0000,590.23,0x0000,792.191,0x0000
2016-3-1 02:05:00,785.012,0x0000,26.337,0x0000,599.002,0x0000,7.96474,0x0000,2.62744,0x0000,589.327,0x0000,589.566,0x0000,788.876,0x0000
2016-3-1 02:10:00,795.29,0x0000,25.9096,0x0000,598.383,0x0000,7.96474,0x0000,2.62744,0x0000,589.219,0x0000,589.542,0x0000,801.901,0x0000
2016-3-1 02:15:00,787.581,0x0000,26.0317,0x0000,601.554,0x0000,7.96474,0x0000,2.62744,0x0000,590.51,0x0000,590.08,0x0000,786.447,0x0000
2016-3-1 02:20:00,793.577,0x0000,26.2149,0x0000,598.726,0x0000,7.96474,0x0000,2.62744,0x0000,589.667,0x0000,590.241,0x0000,788.645,0x0000
2016-3-1 02:25:00,797.003,0x0000,26.0317,0x0000,597.794,0x0000,7.96474,0x0000,2.62744,0x0000,589.667,0x0000,589.918,0x0000,798.152,0x0000
